id,id_genero,Genero
862,16.0,Animation
8844,12.0,Adventure
15602,10749.0,Romance
31357,35.0,Comedy
11862,35.0,Comedy
949,28.0,Action
11860,35.0,Comedy
45325,28.0,Action
9091,28.0,Action
710,12.0,Adventure
9087,35.0,Comedy
12110,35.0,Comedy
21032,10751.0,Family
10858,36.0,History
1408,28.0,Action
524,18.0,Drama
4584,18.0,Drama
5,80.0,Crime
9273,80.0,Crime
11517,28.0,Action
8012,35.0,Comedy
1710,18.0,Drama
9691,28.0,Action
12665,18.0,Drama
451,18.0,Drama
16420,18.0,Drama
9263,35.0,Comedy
17015,18.0,Drama
902,14.0,Fantasy
37557,18.0,Drama
9909,18.0,Drama
63,878.0,Science Fiction
78802,10749.0,Romance
9598,14.0,Fantasy
47018,36.0,History
687,18.0,Drama
139405,12.0,Adventure
33689,35.0,Comedy
9603,35.0,Comedy
34615,18.0,Drama
31174,18.0,Drama
11443,28.0,Action
35196,18.0,Drama
9312,28.0,Action
577,14.0,Fantasy
11861,18.0,Drama
807,80.0,Crime
10530,12.0,Adventure
8391,18.0,Drama
629,18.0,Drama
117164,28.0,Action
11448,35.0,Comedy
49133,18.0,Drama
26441,28.0,Action
97406,18.0,Drama
9089,35.0,Comedy
11010,35.0,Comedy
99040,53.0,Thriller
11359,12.0,Adventure
17182,18.0,Drama
2054,10402.0,Music
10607,35.0,Comedy
19760,35.0,Comedy
9536,35.0,Comedy
11525,28.0,Action
40628,18.0,Drama
4482,35.0,Comedy
10634,35.0,Comedy
755,27.0,Horror
11859,28.0,Action
28387,35.0,Comedy
48750,18.0,Drama
20927,18.0,Drama
36929,35.0,Comedy
9102,27.0,Horror
124626,99.0,Documentary
27526,18.0,Drama
9623,18.0,Drama
46785,10751.0,Family
400,18.0,Drama
880,18.0,Drama
146599,10749.0,Romance
8447,18.0,Drama
10534,28.0,Action
17414,12.0,Adventure
13997,35.0,Comedy
2086,80.0,Crime
61548,18.0,Drama
9095,18.0,Drama
12158,35.0,Comedy
9283,35.0,Comedy
9208,28.0,Action
40154,35.0,Comedy
406,18.0,Drama
45549,28.0,Action
63076,99.0,Documentary
11062,18.0,Drama
13685,35.0,Comedy
47475,35.0,Comedy
2045,18.0,Drama
9614,35.0,Comedy
688,18.0,Drama
11907,18.0,Drama
10874,28.0,Action
89333,99.0,Documentary
96357,80.0,Crime
197,28.0,Action
103,80.0,Crime
33542,80.0,Crime
43566,18.0,Drama
71754,18.0,Drama
43612,35.0,Comedy
51352,99.0,Documentary
16934,35.0,Comedy
10324,35.0,Comedy
78406,35.0,Comedy
55731,28.0,Action
32119,18.0,Drama
11066,35.0,Comedy
11104,18.0,Drama
37975,18.0,Drama
2074,35.0,Comedy
27793,14.0,Fantasy
44284,18.0,Drama
110972,35.0,Comedy
32622,35.0,Comedy
73067,18.0,Drama
11863,28.0,Action
55475,35.0,Comedy
124636,10402.0,Music
9101,35.0,Comedy
123360,99.0,Documentary
5757,35.0,Comedy
39428,18.0,Drama
9302,18.0,Drama
11000,35.0,Comedy
249882,18.0,Drama
16388,35.0,Comedy
9737,28.0,Action
30765,28.0,Action
10474,18.0,Drama
22279,10749.0,Romance
30157,80.0,Crime
568,18.0,Drama
11780,12.0,Adventure
34996,18.0,Drama
414,28.0,Action
649,18.0,Drama
1873,18.0,Drama
5894,35.0,Comedy
1775,28.0,Action
8839,14.0,Fantasy
20649,9648.0,Mystery
10329,28.0,Action
8963,28.0,Action
26564,99.0,Documentary
8068,53.0,Thriller
8512,18.0,Drama
1572,28.0,Action
13552,28.0,Action
259209,18.0,Drama
6520,28.0,Action
9073,12.0,Adventure
10428,28.0,Action
17447,35.0,Comedy
9886,12.0,Adventure
9482,878.0,Science Fiction
19326,35.0,Comedy
9344,18.0,Drama
9071,18.0,Drama
