id,promedio_votos,total_votos
862,7.7,5415
8844,6.9,2413
15602,6.5,92
31357,6.1,34
11862,5.7,173
949,7.7,1886
11860,6.2,141
45325,5.4,45
9091,5.5,174
710,6.6,1194
9087,6.5,199
12110,5.7,210
21032,7.1,423
10858,7.1,72
1408,5.7,137
524,7.8,1343
4584,7.2,364
5,6.5,539
9273,6.1,1128
11517,5.4,224
8012,6.4,305
1710,6.5,199
9691,6.0,394
12665,6.3,143
451,7.1,365
16420,7.0,33
9263,6.6,91
17015,7.4,36
902,7.6,308
37557,6.5,17
9909,6.4,249
63,7.4,2470
78802,6.8,4
9598,6.0,756
47018,6.4,16
687,7.3,350
139405,3.5,2
33689,6.1,149
9603,6.9,828
34615,6.7,13
31174,6.9,50
11443,6.6,80
35196,6.3,30
9312,5.4,452
577,6.7,177
11861,6.5,38
807,8.1,5915
10530,6.7,1509
8391,5.9,10
629,8.1,3334
117164,6.3,3
11448,6.7,145
49133,7.7,11
26441,5.2,41
97406,6.1,15
124057,3.0,1
9089,6.3,39
11010,7.6,181
99040,6.5,2
11359,5.9,136
17182,5.8,65
2054,6.9,115
10607,6.2,192
19760,4.5,14
9536,4.4,110
11525,2.8,32
40628,5.4,11
4482,6.0,43
10634,7.0,513
755,6.9,1644
11859,4.1,54
28387,7.0,36
48750,6.6,8
20927,5.1,27
36929,3.9,16
9102,6.1,154
124626,7.3,3
27526,6.1,74
9623,5.5,91
46785,7.5,20
400,6.7,87
880,7.2,26
146599,4.5,2
188588,0.0,0
8447,6.3,17
10534,6.3,86
17414,5.1,59
13997,6.0,124
2086,6.1,190
61548,6.7,3
9095,5.7,77
12158,4.5,113
9283,6.6,103
9208,5.7,459
40154,7.5,6
406,7.9,695
45549,5.6,13
63076,6.8,4
11062,6.0,67
13685,6.8,285
47475,3.3,16
2045,5.3,22
9614,6.5,767
688,7.3,397
11907,5.1,5
10874,6.5,93
89333,7.0,2
96357,0.0,0
197,7.7,3404
103,8.1,2632
33542,6.5,245
43566,5.8,37
71754,7.5,2
43612,7.0,23
51352,7.3,4
16934,6.9,19
10324,5.4,11
78406,5.1,7
55731,5.2,21
32119,7.0,7
11066,5.4,139
11104,7.9,249
37975,6.8,29
2074,6.3,66
27793,4.4,105
